team,season,Winning,Passing,Rushing,Pass_Def,Rush_Def,Takeaway,Turnovers
Bears,1989,6,9.1,12.2,6.3,5.4,11.5,12.6
Bears,1990,11,7.1,13.2,12.3,7.4,13.5,8.6
Bears,1991,11,9.1,11.2,12.3,7.4,9.5,10.6
Bears,1992,5,9.1,10.2,12.3,5.4,9.5,10.6
Bears,1993,7,6.1,9.2,15.3,7.4,9.5,8.6
Bears,1994,9,9.1,9.2,11.3,5.4,6.5,8.6
Bears,1995,9,11.1,11.2,5.3,8.4,8.5,8.6
Bears,1996,7,9.1,9.2,10.3,7.4,8.5,8.6
Bears,1997,4,10.1,10.2,12.3,6.4,8.5,12.6
Bears,1998,4,9.1,9.2,10.3,6.4,8.5,10.6
Bears,1999,6,12.1,7.2,6.3,6.4,10.5,11.6
Bears,2000,5,8.1,9.2,9.3,6.4,6.5,8.6
Bears,2001,12,8.1,9.2,9.3,10.4,10.5,7.6
Bears,2002,4,9.1,7.2,8.3,4.4,8.5,10.6
Bears,2003,7,8.1,10.2,11.3,6.4,6.5,8.6
Bears,2004,5,6.1,9.2,10.3,4.4,8.5,11.6
Bears,2005,11,6.1,11.2,13.3,7.4,10.5,8.6
Bears,2006,13,10.1,10.2,11.3,7.4,13.5,10.6
Bears,2007,7,10.1,7.2,7.3,5.4,9.5,10.6
Bears,2008,9,9.1,9.2,6.3,8.4,9.5,8.6
Bears,2009,7,10.1,8.2,9.3,5.4,8.5,10.6
Bears,2010,11,9.1,9.2,8.3,8.4,10.5,9.6
Bears,2011,8,9.1,11.2,5.3,8.4,9.5,8.6
Bears,2012,10,9.1,11.2,9.3,7.4,13.5,7.6
Bears,2013,8,13.1,10.2,7.3,1.4,8.5,7.6
Bears,2014,5,11.1,8.2,4.3,6.4,7.5,8.6
Bears,2015,6,11.1,10.2,8.3,5.4,5.5,6.6
Bears,2016,3,12.1,9.2,8.3,5.4,3.5,9.6
Bears,2017,5,8.1,10.2,9.3,6.4,6.5,6.6
Bengals,1989,8,11.1,14.2,11.3,4.4,11.5,9.6
Bengals,1990,9,9.1,12.2,9.3,4.4,9.5,10.6
Bengals,1991,3,9.1,10.2,5.3,7.4,9.5,12.6
Bengals,1992,5,6.1,11.2,10.3,5.4,9.5,8.6
Bengals,1993,3,7.1,8.2,15.3,4.4,7.5,6.6
Bengals,1994,3,10.1,8.2,10.3,5.4,5.5,12.6
Bengals,1995,7,11.1,8.2,4.3,4.4,7.5,9.6
Bengals,1996,8,10.1,10.2,6.3,7.4,13.5,7.6
Bengals,1997,7,10.1,11.2,9.3,3.4,7.5,6.6
Bengals,1998,3,9.1,9.2,11.3,1.4,6.5,6.6
Bengals,1999,4,9.1,11.2,7.3,7.4,8.5,9.6
Bengals,2000,4,6.1,13.2,8.3,5.4,6.5,10.6
Bengals,2001,5,8.1,9.2,13.3,7.4,7.5,10.6
Bengals,2002,2,10.1,9.2,10.3,5.4,6.5,10.6
Bengals,2003,8,10.1,11.2,9.3,3.4,7.5,6.6
Bengals,2004,8,10.1,10.2,10.3,4.4,10.5,9.6
Bengals,2005,11,11.1,10.2,8.3,6.4,13.5,6.6
Bengals,2006,8,11.1,9.2,7.3,6.4,9.5,7.6
Bengals,2007,7,12.1,8.2,7.3,5.4,10.5,9.6
Bengals,2008,4,7.1,8.2,10.3,5.4,7.5,8.6
Bengals,2009,10,8.1,11.2,10.3,7.4,7.5,7.6
Bengals,2010,4,11.1,8.2,9.3,6.4,7.5,10.6
Bengals,2011,9,10.1,10.2,9.3,7.4,6.5,6.6
Bengals,2012,10,11.1,9.2,9.3,7.4,9.5,8.6
Bengals,2013,11,12.1,10.2,10.3,8.4,9.5,9.6
Bengals,2014,10,10.1,12.2,6.3,6.4,7.5,8.6
Bengals,2015,12,12.1,10.2,5.3,8.4,8.5,5.6
Bengals,2016,6,12.1,10.2,7.3,6.4,6.5,5.6
